"lag","ccf"
-12,0.846297681076833
-11,0.842396775609977
-10,0.837492146858853
-9,0.836245691398663
-8,0.836354008460902
-7,0.831922742798574
-6,0.830366605664658
-5,0.825508445068282
-4,0.821194357583853
-3,0.821387642704843
-2,0.819539964749366
-1,0.819627595909503
0,0.81725198001658
1,0.801136643000324
2,0.784803078294993
3,0.768229436867994
4,0.749827228346606
5,0.734016186306458
6,0.716326905939798
7,0.701789229945632
8,0.685148478176483
9,0.666038591200118
10,0.649127295134371
11,0.632868746147686
12,0.619262633042861
